Site,Year,Month,Day,Hour,value,Duration
Beijing,2011,1,1,0,,Missing
Beijing,2011,1,1,1,,Missing
Beijing,2011,1,1,2,,Missing
Beijing,2011,1,1,3,,Missing
Beijing,2011,1,1,4,,Missing
Beijing,2011,1,1,5,,Missing
Beijing,2011,1,1,6,,Missing
Beijing,2011,1,1,7,,Missing
Beijing,2011,1,1,8,,Missing
Beijing,2011,1,1,9,,Missing
Beijing,2011,1,1,10,,Missing
Beijing,2011,1,1,11,,Missing
Beijing,2011,1,1,12,,Missing
Beijing,2011,1,1,13,,Missing
Beijing,2011,1,1,14,,Missing
Beijing,2011,1,1,15,,Missing
Beijing,2011,1,1,16,,Missing
Beijing,2011,1,1,17,,Missing
Beijing,2011,1,1,18,,Missing
Beijing,2011,1,1,19,,Missing
Beijing,2011,1,1,20,,Missing
Beijing,2011,1,1,21,,Missing
Beijing,2011,1,1,22,,Missing
Beijing,2011,1,1,23,36,Valid
Beijing,2011,1,2,0,31,Valid
Beijing,2011,1,2,1,20,Valid
Beijing,2011,1,2,2,19,Valid
Beijing,2011,1,2,3,18,Valid
Beijing,2011,1,2,4,17,Valid
Beijing,2011,1,2,5,14,Valid
Beijing,2011,1,2,6,14,Valid
Beijing,2011,1,2,7,22,Valid
Beijing,2011,1,2,8,22,Valid
Beijing,2011,1,2,9,25,Valid
Beijing,2011,1,2,10,24,Valid
Beijing,2011,1,2,11,31,Valid
Beijing,2011,1,2,12,37,Valid
Beijing,2011,1,2,13,35,Valid
Beijing,2011,1,2,14,32,Valid
Beijing,2011,1,2,15,37,Valid
Beijing,2011,1,2,16,40,Valid
Beijing,2011,1,2,17,52,Valid
Beijing,2011,1,2,18,63,Valid
Beijing,2011,1,2,19,72,Valid
Beijing,2011,1,2,20,76,Valid
Beijing,2011,1,2,21,76,Valid
Beijing,2011,1,2,22,67,Valid
Beijing,2011,1,2,23,65,Valid
Beijing,2011,1,3,0,78,Valid
Beijing,2011,1,3,1,85,Valid
Beijing,2011,1,3,2,143,Valid
Beijing,2011,1,3,3,181,Valid
Beijing,2011,1,3,4,188,Valid
Beijing,2011,1,3,5,167,Valid
Beijing,2011,1,3,6,173,Valid
Beijing,2011,1,3,7,155,Valid
Beijing,2011,1,3,8,124,Valid
Beijing,2011,1,3,9,105,Valid
Beijing,2011,1,3,10,87,Valid
Beijing,2011,1,3,11,93,Valid
Beijing,2011,1,3,12,134,Valid
Beijing,2011,1,3,13,164,Valid
Beijing,2011,1,3,14,180,Valid
Beijing,2011,1,3,15,184,Valid
Beijing,2011,1,3,16,175,Valid
Beijing,2011,1,3,17,188,Valid
Beijing,2011,1,3,18,255,Valid
Beijing,2011,1,3,19,286,Valid
